Horizon,Updated_Horizon,Flag_remove,Flag.Horizon.Type,Move_to_Humus
Bfhcj,Bhfcj,,,
Cgj2,,,,
BF2,Bf2,,,
Bhfgj,,,,
CK2,Ck2,,,
CGJ,Cgj,,,
Bksagj,,,,
ABg,,,,
IAhk,,,,
Bgk2,,,,
Of,,,Organic.Horizon,
Bfp,Bf,,,
Bmc,Bmc,,,
Bfhb,Bhfb,,,
Ahbg2,,,,
Cgk,,,,
IBm2,,,,
IIBngj,,,,
BCc,,,,
IIIBfcb,,,,
Cxc,,,,
IIICk,,,,
Bfjg,Bgfj,,,
Cgjk,Ckgj,,,
BMK,Bmk,,,
Btfj,,,,
bm,Bm,,,
Bkg1,,,,
R35+,,Flag,,
Ac2,AC2,,,
IIICG,IIICg,,,
IBm1,,,,
Cck,,,,
IICgj,,,,
BM1,Bm1,,,
Bfg4,,,,
Ckg3,,,,
Bh2,,,,
IIIBF,IIIBf,,,
L,,,Organic.Horizon,Move
Bg3,,,,
Fq,F,,Organic.Horizon,Move
Bgca,,,,
None,,Flag,,
Bhfc,,,,
Bfh1,Bhf1,,,
IIIBC2,,,,
BtC,Bt,,,
BM2,Bm2,,,
Afgj,Bfgj,,,
BGJ1,Bgj1,,,
Hbj,Hb,,Organic.Horizon,
BgII,Bg2,,,
ABk,,,,
IBf,,,,
BfuBCu,,Flag,,
Bfu,,,,
IIBmk1,,,,
Ahk1,,,,
Bhfu,,,,
BMU,Bmu,,,
Btk2,,,,
AhBg,,Flag,,
1Ah,Ah1,,,
Ccg,,,,
IIBtj,,,,
IVBC1,,,,
Bc1,Bmc1,,,
Cobbles,R,,,
BCcj,,,,
IIAhca,,,,
Bmkg2,,,,
Hh,,,Organic.Horizon,Move
BfII,Bf2,,,
Bgh,Bhg,,,
IIH,,,Organic.Horizon,Move
Bmku3,,,,
Charcoal,,Flag,,
BCgk,,,,
BMYB,Bmyb,,,
Bfc1,,,,
Bfc2,,,,
Aebu2,,,,
Bfbu1,,,,
Bg5,,,,
Bfb2,,,,
Aebu1,,,,
Cg5,,,,
AEgj,Aegj,,,
HAeb1,Aheb1,,,
Om1,,,Organic.Horizon,
Lfh,LFH,,Organic.Horizon,Move
A1,,Flag,,
IIC3,,,,
Cca2,,,,
Acb,Acb,,,
Hhi,,,Organic.Horizon,Move
Ob,,,Organic.Horizon,
IIBF2,IIBf2,,,
bHF,Bhf,,,
bF,Bf,,,
Rx,Rx,,,
Btm,Bt,,,
Ofb2,,,Organic.Horizon,
Bmhj,Bhj,,,
BHF2,Bhf2,,,
BMB,Bmb,,,
Btk1,,,,
3C,IIIC,,,
BC3,BC3,,,
Cz,,,,
Bmz,,,,
IICu,,,,
Ckgj,,,,
Bfy2,,,,
Cgh,Cg,,,
ABU,ABu,,,
IICg2,,,,
ACk,,,,
AhH,Ah,,,
IIBf,,,,
WOOD,,Flag,,
IIIBg,,,,
BfBC,Bf,,,
Bhfgj1,,,,
BfBhf,Bhf,,,
Btj3,,,,
Bs,,,,
C+B,BC,,,
Fqb,Fb,,Organic.Horizon,
Bfju,Bufj,,,
IIAe,,,,
Ckc,,,,
Mineral,,Flag,,
Bgj1,,,,
IBCk,,,,
IVCg,,,,
Aebu,,,,
LFH,,,Organic.Horizon,Move
IIBCg2,,,,
Bmk3,,,,
Cgi,Cg1,,,
BmI,Bm1,,,
IBfj,,,,
BmAh,,Flag,,
I,,Flag,,
BMK1,Bmk1,,,
AejBfB,,Flag,,
Bfub,Bfub,,,
Bgjk,Bmkgj,,,
IICkc,,,,
BCgjk,BCkgj,,,
Ah3gj,Ahgj3,,,
Btkgj1,,,,
OH,Oh,,Organic.Horizon,
Cca2u,Cca2,,,
AHB,Ahb,,,
Bgt1,Btg1,,,
BmAh?,,Flag,,
Btj1,,,,
BT2,Bt2,,,
IIIBtg,,,,
Btju,Btj,,,
ROCK,R,,,
Aheg,,,,
BTK2,Btk2,,,
3R,R,,,
Bhgj2,,,,
BgI,Bg1,,,
IIBgb,,,,
Bn,,,,
IIBG1,IIBg1,,,
Ahf,,Flag,,
1Bm,Bm1,,,
Cgb,,,,
R?,R,,,
Of1,,,Organic.Horizon,
BCU,Bcu,,,
IICcagj,,,,
IIBtk,,,,
Ahek3,,,,
Hi,,,Organic.Horizon,Move
B3,,Flag,,
VBg3,,,,
BFC,Bfc,,,
BFB,Bfb,,,
Ohb,,,Organic.Horizon,
Btg2,,,,
Ibmk,Bmk1,,,
Btjg,Bgtj,,,
Bj,,Flag,,
Iae,Ae1,,,
ASH,,Flag,,
2BCK,IIBCk,,,
IIIAhbgj,IIIAhbgj,,,
wood,,Flag,,
IIIBfgb,,,,
AL,,Flag,,
Cgc,Cgc,,,
Fq2,F2,,Organic.Horizon,Move
BCca2,,,,
Ahjej,Ahej,,,
BCK2,BCk2,,,
Ahe2,,,,
Cg4,,,,
Btz,,,,
Cgjk1,Ck1gj,,,
B2,,Flag,,
2BCGJ,IIBCgj,,,
BCgjtj,Btjgj,,,
IAe,,,,
CB1,,,,
Ahc,,,,
Ahbg1,,,,
IIBtc2,,,,
Btgj2,,,,
Bgfj,,,,
BfI,Bf1,,,
ACU,ACu,,,
BTJ1,Btj1,,,
Ckg1,,,,
IICa,IICca,,,
BMG1,Bg1,,,
IVBmKb,IVBmkb,,,
CR,C,,,
IIBC1,,,,
IIOb,,,Organic.Horizon,
BF1,Bf1,,,
IIIAhb,,,,
IVAhb,,,,
Aje,Aej,,,
Aekj,,,,
IIBM,IIBm,,,
IIBmb,,,,
Bhm,Bh,,,
VCg,,,,
BCgj1,,,,
CC,Cc,,,
3Ck,IIICk,,,
Bfjgj,,,,
IIBtk1,,,,
Bmu1,,,,
bAh,,Flag,,
IIBf2,,,,
Ae11,Ae1,,,
IICK,IICk,,,
IVAhKb,IVAhkb,,,
ABtj,Btj,,,
rock,R,,,
boulder,R,,,
W,W,,,
Bfgi,Bfg1,,,
Aehj,Ahej,,,
Of3,,,Organic.Horizon,
BCB,,Flag,,
Btj2,,,,
Ck3,,,,
Bc2,,,,
Iah,Ah1,,,
Bmg2,Bg2,,,
IIIBM,IIIBm,,,
Bfgj1,,,,
Bfgj2,,,,
Cb5,,,,
IIAhgj,,,,
Bfg3,,,,
2BMC,IIBmc,,,
?,,Flag,,
pBC,,Flag,,
BmAe,,Flag,,
Bfi,Bf1,,,
bf,Bf,,,
IIBfj,,,,
AhBrn,,Flag,,
Brn,,Flag,,
Bk2,,,,
kC,Ck,,,
Of2,,,Organic.Horizon,
Btg1,,,,
A+BK,ABk,,,
Aheb,,,,
Bk1,,,,
2R,R,,,
VBm,,,,
IIBmg2,,,,
IIAeb,,,,
IAE,Ae1,,,
IVBm,,,,
48,,Flag,,
Bmtj,,,,
IICg1,,,,
VBmb2,,,,
IIAej,,,,
Aejg,Aegj,,,
BtK2,Btk2,,,
Saprolit,,Flag,,
Ah2b,Ahb2,,,
IIBT2,IIBt2,,,
CgII,IICg,,,
CI,C1,,,
Bnca,,,,
VIC,,,,
IIBT1,IIBt1,,,
Bsa,,,,
IIBhgj,,,,
S2,,Flag,,
Bhfcj,,,,
Hcb,,,Organic.Horizon,
IIBFGJ2,IIBfgj2,,,
Bcgj,,,,
Aek,,,,
IIBhf,,,,
ACK,,Flag,,
Bmu2,,,,
Hb1,,,Organic.Horizon,
BH,Bh,,,
Btgf,,Flag,,
IAhg,,,,
Bmc2,,,,
Bf3g,Bfg3,,,
Bmf,Bf,,,
IIIAh,,,,
Bhgj,,,,
Ibm,Bm1,,,
A+BU,,Flag,,
AB2,,,,
Bt2k,Btk2,,,
Bmgs,Bsg,,,
I.Ae,Ae1,,,
Cgjk4,Ckgj4,,,
Bfg2,,,,
Aheu,,,,
Ahg2,,,,
Cbk,,,,
water,W,,,
Rf,R,,,
"C


C",C,,,
5.5,,Flag,,
IIBfc2,,,,
IIHhb,,,Organic.Horizon,
Bkgj,,,,
