Horizon,Updated_Horizon,Flag_remove,Flag.Horizon.Type,Move_to_Humus
IICgk,,,,
Ofi,Of1,,Organic.Horizon,
SAe,Ae,,,
B23,,Flag,,
2BMGJ,IIBmgj,,,
BhfHin?,Bhf,,,
IIBh3,,,,
IIIHb,,,Organic.Horizon,
Btku,,,,
F2,,,Organic.Horizon,Move
Ot,O,,Organic.Horizon,
coarsefr,,Flag,,
2ACK,,Flag,,
IIBM2,IIBm2,,,
IICgb,,,,
Bfjh,,,,
Btgk1,,,,
Btjca,,,,
IIBM3,IIBm3,,,
Bnt,,,,
H2,,,Organic.Horizon,Move
BfjBm,Bfj,,,
IIBmgb2,,,,
IIBmh,IIBh,,,
"F,Hr,Hc",FH,,Organic.Horizon,Move
2AB,IIAB,,,
boulders,R,,,
Bgjl,,,,
Ahbu2,,,,
RK,R,,,
Bfjc,,,,
AEJB,Ae,,,
BFU,Bfu,,,
Apksa,,,,
IIIBmk,,,,
O2,O,,Organic.Horizon,
Cxg,,,,
2BHFU,IIBhfu,,,
Bktj2,,,,
c1,C1,,,
2Bmj,IIBm,,,
Bfj3,,,,
#C,IIIC,,,
IIAhgjb1,,,,
Bnj,,,,
GCgj,,Flag,,
Hch,,,Organic.Horizon,Move
IIAeu,,,,
IIBf1,,,,
Bh?,Bh,,,
BCtgj,Btgj,,,
BtjTj,Btj,,,
Bfburn,,Flag,,
Btkgj3,,,,
Bmu3,,,,
Bhfbgj,,,,
Ah+Ae,Ahe,,,
VCkg,,,,
CG1,Cg1,,,
FHB,FHb,,Organic.Horizon,
IIIAE,IIIAe,,,
BCgb2,,,,
Bmku4,,,,
IBmb,,,,
Bpn,,Flag,,
C+BKU,Bku,,,
CK1,Ck1,,,
Bfjy,Byfj,,,
IIOhb,,,Organic.Horizon,
Bm1+Bm2,Bm1,,,
Bfcc,,,,
Bmcc,,,,
Water,W,,,
IVBmb,,,,
Bng,,,,
Bt4,,,,
IIBTGJ,IIBtgj,,,
Omch,Om,,Organic.Horizon,
B+R,Bm,,,
Aey,,,,
VIBCg,,,,
Ohi1,Oh1,,Organic.Horizon,
Ohi2,Oh2,,Organic.Horizon,
IIIBmgj,,,,
IIIBGB,IIIBgb,,,
Char,,Flag,,
CBgj1,,,,
IIAe1,,,,
BC1y,BCy1,,,
Ahj2,,,,
BCKU,Bcku,,,
CgK,Cgk,,,
HII,H2,,Organic.Horizon,Move
Bmfg,Bfg,,,
IICgs,,,,
Bca,Bmk,,,
Abh,Ahb,,,
IVCk,,,,
Fhb,FHb,,Organic.Horizon,
IBM,Bm,,,
Icg,Cg,,,
Aeh?,Ahe,,,
IICca1,,,,
Btjg2,Bgtj2,,,
BK,Bmk,,,
2BCk,IIBCk,,,
IIBfjb1,,,,
AHEU,Aheu,,,
IBg1,Bg1,,,
IAej,Aej,,,
Ckca,,,,
Btb,,,,
Ibg,Bg,,,
46+,,Flag,,
CBca,,,,
Mot,,Flag,,
Ah?,Ah,,,
HARDPAN,,Flag,,
IIICKG2,IIICkg2,,,
Bf2b,Bfb2,,,
bT2,Bt2,,,
Hri,H,,Organic.Horizon,Move
etc.,,Flag,,
IIBCc,,,,
Aejb,,,,
Bfjgj2,,,,
Ggj,Bgj,,,
Ae1b,Aeb1,,,
Bmf?,Bmf,,,
Bgjnj,,,,
3Bt1,IIIBt1,,,
4Bt2,IVBt2,,,
5IIC,VIIC,,,
IIBcb,,,,
Ccca,Cc,,,
2Bf2,IIBf2,,,
IBf1,Bf1,,,
IIBCB,IIBCb,,,
IVBh,IVBh,,,
ae,Ae,,,
BFG,Bfg,,,
IIICatc,,Flag,,
Bb,,Flag,,
kBm,Bmk,,,
2Bhf,IIBhf,,,
2BCc,IIBCc,,,
coalse,,Flag,,
IVBM,IVBm,,,
IIR,IIR,,,
IIBM4,IIBm4,,,
BMGJ2,Bmgj2,,,
IIAH,IIAh,,,
Bgj`,Bgj,,,
Bmgj3,,,,
C+OG+F,,Flag,,
IIBmb4,,,,
IIB2,,Flag,,
IBf3,Bf3,,,
IAE2,Ae2,,,
IIBgj2,,,,
Bgk1,,,,
BTJ2,Btj2,,,
2C1,IIC1,,,
2C2,IIC2,,,
2Ahb,IIAhb,,,
2C3gj,IICgj3,,,
2Bm2,IIBm2,,,
ba,BA,,,
BHFCJ,Bhfcj,,,
IIIBg2,,,,
bg,Bg,,,
Bfthj,,Flag,,
salt,,Flag,,
GCg,Cg,,,
Aecharc,Ae,,,
Bml,Bm1,,,
Ahjgj,,,,
IIBCK2,IIBCk2,,,
Bf2cj,Bfcj2,,,
Aez,,,,
Ahku,,,,
BCy,,,,
BhfBcd,,Flag,,
cK2,Ck2,,,
Hchx,,Flag,,
IIIbtg2,IIIBtg2,,,
Bmy2,Bmy2,,,
Ahsak,,,,
Ahfg,,,,
IIIBC1g,IIIBCg1,,,
Rocks,R,,,
Ckj,,,,
OsOf,Of,,Organic.Horizon,
Bmgjk2,Bmkgj2,,,
Bgm,Bg,,,
Bhfz,,,,
Ahje,Ahej,,,
Bktj1,,,,
BTj,Btj,,,
AhAe,Ahe,,,
IIBFGJ,IIBfgj,,,
CBGJ3,CBgj3,,,
IIIBt2,,,,
Ahs,,,,
IICKG,IICkg,,,
RC,R,,,
HBK,,Flag,,
IIBhf1,,,,
VIIBhf,,,,
IVBmkgj,,,,
BhfAh?,,Flag,,
B+K,,Flag,,
IIBCg1,,,,
IIBCk,,,,
Ar,,Flag,,
Bfcg,,,,
Bgc,,,,
Bmbl,Bmb1,,,
IAehj,Ahej1,,,
IIBMB1,IIBmb1,,,
Btg3,,,,
IVBgj,,,,
Bt32jg,,Flag,,
Cca3,,,,
IICgjk,IICkgj,,,
BgBgj,Bgj,,,
BC1gj,BCgj1,,,
Bhg2,,,,
Bhfg1,,,,
Lfb,LFb,,Organic.Horizon,
Fm1,,,Organic.Horizon,Move
Bgki,Bgk1,,,
Ahgjk,Ahkgj,,,
Cg12,Cg1,,,
BF3,Bf3,,,
Bmgz2,,,,
Cg11,Cg1,,,
III.Ah,Ah3,,,
AheBhf,,Flag,,
ABC,,Flag,,
BhfBC,,Flag,,
2CKG,IICkg,,,
BCa1,Bmk1,,,
IAh2,,,,
Afb,,Flag,,
IIIBm1,,,,
IIIBm2+C,IIIBm2,,,
Cgjn,,Flag,,
Oco,O,,Organic.Horizon,
2Bmg,IIBmg,,,
3Cgj,IIICgj,,,
Hai,,Flag,,
Ha,,Flag,,
3Cg,IIICg,,,
4Cg,IVCg,,,
IIIB,IIIBm,,,
VBgj,,,,
IIBCk2,,,,
IIIBhf,,,,
VIIIB,VIIIBm,,,
IVBhf,,,,
VM,,Flag,,
hb1,Hb1,,Organic.Horizon,
VIBhf,,,,
VBhf,,,,
VB,VBm,,,
BC?,BC,,,
IVB,IVBm,,,
IIB1,IIBm1,,,
CBgj2,,,,
AF,,Flag,,
Bgh2,Bhg2,,,
IIBgf,IIBgf,,,
IIABg,,,,
3CK,IIICk,,,
Bhb2,,,,
IICgjcj,,,,
Ahgj2,,,,
AeB,Ae,,,
AEG,Aeg,,,
IIBtj2,IIBtj2,,,
Bghf,,,,
Ahbx,,,,
Bgk3,,,,
Bmgj4,,,,
SIC2,,Flag,,
Sh,,Flag,,
Ahbu1,,,,
21+,,Flag,,
IIBmgj3,,,,
Bf3gj,Bfgj3,,,
BHFUC,Bhfuc,,,
Seepage,W,,,
VIIBC,,,,
IBfcj,,,,
Ctc,,Flag,,
VIBm,,,,
IIBcc,,,,
VC3,VC3,,,
IIIBT2,IIIBt2,,,
IIBfg,,,,
IBF,Bf,,,
A+C,AC,,,
IIBhf2,,,,
IIBhf4,,,,
VBgf,,,,
2Bg,IIBg,,,
BhfBf,Bhf,,,
AheBm,,Flag,,
3Bm,IIIBm,,,
4Bmg,IVBmg,,,
IIBtb,IIBtb,,,
5Cg,VCg,,,
IVBg1,,,,
IVBg2,,,,
BmG,Bmg,,,
Ahgx,,,,
C2?,C2,,,
Bcg1,,,,
Bf1b,Bfb1,,,
IBm+IIBm,IIBm,,,
Ahzy,,,,
O1,O,,Organic.Horizon,
Aegj1,,,,
Bgfj2,,,,
IVCg4,,,,
Btkj,,,,
Cs,,,,
VC2,,,,
Ahjb,,,,
Bhfg3,,,,
Bkg,,,,
IIIBmg,,,,
IVBg,,,,
AeBH,,Flag,,
Hu1,H1,,Organic.Horizon,Move
Hu2,H2,,Organic.Horizon,Move
VBh,,,,
Bfu1,,,,
IIBtC,IIBt,,,
Ohin,Oh,,Organic.Horizon,
SL,,,Organic.Horizon,Move
BhfBg,Bhfg,,,
B+C,BC,,,
C6,,,,
Rweathe,R,,,
Omb,,,Organic.Horizon,
Aegh,,Flag,,
VAhb,,,,
Bhk2,,,,
IVAeb,,,,
IIIBmgj4,,,,
IIFHib,,,Organic.Horizon,
Bgz,,,,
IICc,,,,
"S,L,H",SLH,,Organic.Horizon,Move
SFqH,SFH,,Organic.Horizon,Move
SLFH,SLFH,,Organic.Horizon,Move
IIBgtj,,,,
C2y,Cy2,,,
IIBtgj2,,,,
OhHd,Oh,,Organic.Horizon,
Sap.,,Flag,,
IICb1,,,,
Bmg3,Bg3,,,
Bgcab,,Flag,,
AeBmBC,,Flag,,
BmBmg,,Flag,,
AeBmBh,,Flag,,
BfcBhfg,,Flag,,
Bmgu,,,,
B+CU,Bcu,,,
Bfyj,,,,
bM,Bm,,,
AhBmg,,Flag,,
BmBf2,Bf2,,,
2BCcj,IIBCcj,,,
AhgHin,,Flag,,
Ahjeu,Aheju,,,
IAhe,,,,
Bfu2,,,,
"Bm


Bm",,,,
BMCJ,Bmcj,,,
Aejh,Ahej,,,
C1gj,Cgj1,,,
2BCgj,IIBCgj,,,
"Bf,Bm",Bf,,,
3BCg,IIIBCg,,,
Bgjf,Bfgj,,,
Bfji,Bfj1,,,
S+R,,Flag,,
IIBMB2,IIBmb2,,,
Bmk4,Bmk4,,,
Ckx,,,,
Bkg2,,,,
C1?,C1,,,
BmBC,Bm,,,
Bhk1,,,,
VIIC2,,,,
AHY,Ahy,,,
Bca3,Bmk3,,,
"BC


BC",,,,
Humus,LFH,,Organic.Horizon,Move
BFM,Bf,,,
CkR,Ck,,,
Placic,Bfc,,,
Aeq,Ae,,,
Humicb,,Flag,,
AEGJ,Aegj,,,
Bfgc,,,,
Abgj,,,,
Faq,,,Organic.Horizon,Move
Bmb4,,,,
Ahuk,,,,
AeCgj,,Flag,,
Acasa2,,,,
IIBC3,,,,
Ah1kg,Ahkg1,,,
Aew,,,,
C3g,Cg3,,,
Bhg1,,,,
Marl,,Flag,,
Hb3,,,Organic.Horizon,
IIIBmb5,,,,
H2mycel,H,,Organic.Horizon,Move
B1C,BC1,,,
Bmb6,,,,
IIBc,IIBmc,,,
Ohb2,,,Organic.Horizon,
Ahub,,,,
OmOh1,Om,,Organic.Horizon,
Fy,,,Organic.Horizon,Move
Csak,,,,
Bms,,,,
Bfv,,,,
BHB,Bhb,,,
Fq1,,,Organic.Horizon,Move
Aebg,,,,
Fh1,FH1,,Organic.Horizon,Move
ah3,Ah3,,,
Bmqj,Bmgj,,,
IICkb,,,,
BCX,BCx,,,
SFH,SFH,,Organic.Horizon,Move
BFGJ2,Bfgj2,,,
AhjBfc,,Flag,,
Ckgj3,,,,
Bct2,Btc2,,,
Hr2,,,Organic.Horizon,Move
Hr1,,,Organic.Horizon,Move
"Ahj


Ahj",,,,
Hiw,Hw,,Organic.Horizon,Move
BCh,,Flag,,
Bmx3,,,,
AhBmO,,Flag,,
L1,,Flag,,
I.Aeb,Aeb1,,,
IVH,,Flag,,
72+,,Flag,,
CBtj,Btj,,,
Bmx2,,,,
BmBhfg,,Flag,,
IIIBc,IIIBmc,,,
IIBfc,,,,
IIBmaj,IIBm,,,
AEGB,Aegb,,,
Bfcu1,,,,
Bhfcu,,,,
Bfcu2,,,,
Sand,,Flag,,
IIOcob,IIOb,,Organic.Horizon,
Hbk,Hb,,Organic.Horizon,
??,,Flag,,
Bhgf,,,,
Bhf?,Bhf,,,
C+OG+M,,Flag,,
HrAhv,,Flag,,
Aejv,,,,
Bf2g,Bfg2,,,
Btgz,,,,
Bhjb,,,,
Cgk3,,,,
kAe,Aek,,,
IIBtc1,,,,
VBmk4,,,,
Aebj,Aejb,,,
IIBTC,IIBtc,,,
IC4,C4,,,
I.Ahj,Ahj,,,
Bmbg,,,,
2BhBg,IIBhbg,,,
Bhb1,,,,
Mm,,Flag,,
IVCca,,,,
Rbroken,R,,,
IIIIBgk,IVBgk,,,
IIIBfb,,,,
VIIIC,,,,
BTG,Btg,,,
IIAEJB,IIAejb,,,
Bfk,,,,
4,,Flag,,
IIBF1,IIBf1,,,
Bm2`,Bm2,,,
Bhcj,Bhcj,,,
IIBCg3,IIBCg3,,,
C+O,,Flag,,
BCck,,,,
Bgfc,,,,
Hlib,Hb,,Organic.Horizon,
AejBh,,Flag,,
IIIBfjb2,,,,
Bf3Ii,Bf3,,,
BhHc,Bhc,,,
Bfjbc,,,,
Bmbk,Bmkb,,,
A2,,Flag,,
IIBm2k,IIBm2k,,,
2BMBK,IIBmkb,,,
TEPHRA,,Flag,,
IIICB,,,,
bM2,Bm2,,,
Hbi,Hb,,Organic.Horizon,
CBGJ4,CBgj4,,,
Bmh1,Bm1,,,
IIBgb1,,,,
ABBCg,,Flag,,
Bhfe,,,,
IIBMG,IIBmg,,,
Bt3g,Btg3,,,
AegBgf,,Flag,,
BCd,BC,,,
IIBCG,IIBCg,,,
CCCA,Cca,,,
As?,,Flag,,
AeHi,Ahe,,,
AeBhc,,Flag,,
ABAB,AB,,,
BAB,BA,,,
BhOh,Bh,,,
BgBhg,Bhg,,,
Bu,,Flag,,
Bcg2,BCg2,,,
Bmz2,Bmz2,,,
AHEK,Ahek,,,
Ahey,Ahey,,,
IIBh,,,,
ICb,Cb,,,
Oh12,Oh1,,Organic.Horizon,
CCg,Ccg,,,
AegBg,,Flag,,
Bfhu,Bhfu,,,
Ohi,Oh1,,Organic.Horizon,
CSap,Csa,,,
Hc2,,,Organic.Horizon,Move
IVCgj,,,,
Iibg,,Flag,,
Hc3,,,Organic.Horizon,Move
Btca,,,,
colluvia,,Flag,,
Aht,,Flag,,
IIIBG,IIIBg,,,
Bcgjk,,,,
Bq,,Flag,,
Sapro,,Flag,,
Hc,,,Organic.Horizon,Move
Hrli,Hr,,Organic.Horizon,Move
BHFC,Bhfc,,,
Ahb6,,,,
IBmu,Bmu,,,
IIBCbjj,IIBCb,,,
Cgz,,,,
C2k,Ck2,,,
Btkc,,,,
Begj,Aegj,,,
ABgj1,Bgj1,,,
IICkgj,,,,
Bhfcb,,,,
Ahp,Ah,,,
CG2,Cg2,,,
OmC,Om,,Organic.Horizon,
Bmkg1,,,,
h2,H2,,Organic.Horizon,Move
hr,Hr,,Organic.Horizon,Move
VIICg,,,,
BCa2,BCca2,,,
AeBhfgj,,Flag,,
1Bgjk,Bmkgj,,,
Aegjh,Ahegj,,,
Bhe,Bh,,,
BC46,BC4,,,
BHf,Bhf,,,
BAgj,Bgj,,,
IIBmck,,,,
Bgcab2,,,,
IC3,C3,,,
Cy,,,,
IIBfgjb,,,,
AeBhe,Ahe,,,
AhejOh,,Flag,,
BhOm,,Flag,,
iibT,IIBt,,,
1Ae,Ae,,,
1Bf,Bf1,,,
2Bf,Bf2,,,
Bfm1,Bf1,,,
2BHFC,IIBhfc,,,
BFJCJ,Bfjcj,,,
Bfjk,,,,
BCgz,,,,
Fg,,Flag,,
Bx,Bmx,,,
MARHL,,Flag,,
IIBhfb,,,,
Bfxj,,,,
SOm,,Flag,,
Bfgh,,,,
Bmnj,Bhfg,,,
BgbIII,Bgb3,,,
Bmkc,,,,
Btkg,,,,
IIIBCg2,,,,
IIBtjk,,,,
IIIBfgjb,,,,
BMBU,Bmb,,,
Bmhkj,Bhkj,,,
Aei,Ae1,,,
Bm2b,Bmb2,,,
Om3,,,Organic.Horizon,
IIBMGJB1,IIBmgjb1,,,
BmBf1,,Flag,,
BCtg1,Btg1,,,
IIAhg,IIAhg,,,
Ash2,,Flag,,
Ahnj,,,,
AHBKU,,Flag,,
Layer2,,Flag,,
B??u,,Flag,,
IIICg2,,,,
IIIBgb,,,,
Sfai,,Flag,,
IIBtjgj1,,,,
?Bhf,Bhf,,,
IICk2,,,,
Bfjm,Bfj,,,
D.WOOD,,Flag,,
IIBtca,,,,
charcoal,,Flag,,
IIBm4,,,,
ivC,IVC,,,
BTGJ,Btgh,,,
Bm?Bhf,Bhf,,,
bFGJ,Bfgj,,,
Hz,H,,Organic.Horizon,Move
B&C,BC,,,
Ahegj,,,,
BAk,,,,
BfjI,,,,
Ibhgj,Bhgj,,,
w,W,,,
BmAhe,,Flag,,
OfOmOhj,Of,,Organic.Horizon,
BCII2,BC2,,,
ICgj,Cgj,,,
IIIBMGJ2,IIIBmgj2,,,
Agh,Ahg,,,
HAeb3,Aeb3,,,
BhfBm,Bhf,,,
IICG2,IICg2,,,
BmgjI,Bmgj1,,,
ICE,,Flag,,
Btx,Btx,,,
BfAeu,,Flag,,
B+CK,BCk,,,
Ab1,Ahb1,,,
Bgnj,Bgnj,,,
AHEF,Ahe,,,
IIIAhbg,IIIAhgb,,,
IIBM1,IIBm1,,,
ah1,Ah1,,,
IIBtj1,,,,
Bm6,,,,
c2,C2,,,
Bgsca,,,,
Ahgo,Ahg,,,
Mtkgj2,,Flag,,
ABhm,Bh,,,
IIIBCK,IIIBCk,,,
Bmjb,Bmb,,,
Bl,,Flag,,
Rh,,Flag,,
Hinb,Hb,,Organic.Horizon,
BCa,BCca,,,
ACbg1,,Flag,,
Bhn,,,,
Bmkg,,,,
ABu,,,,
BCca1,,,,
BCgb1,,,,
IIIBmgj1,,,,
1C,C1,,,
IIBtjgj2,,,,
Ahkb2,,,,
IVBCg,,,,
VIBm6,,,,
BFj,Bfj,,,
Bhfp,,,,
BTK,Btk,,,
IIAeg,,,,
BmorC1,Bm,,,
VICgi,,,,
2CGJ,IICgj,,,
IIAE,Ae2,,,
Bmkb,,,,
CgI,Cg1,,,
C+FB,BC,,,
IIBmgjb1,,,,
BCgjII,,,,
Ahfb,Ahb,,,
BKG,Bgk,,,
Bhfb1,,,,
Aeb1,,,,
Bhfb2,,,,
Aeb2,,,,
BMF,Bf,,,
Cb4,,,,
Dv,,Flag,,
bm3,Bm3,,,
IVCgk,,,,
ah2,Ah2,,,
Bp,Ap,,,
Ahbca2,,,,
AeE,Ae,,,
Bgjfj,,,,
IIIBmgj2,,,,
BCCa,BCca,,,
Aw,Ae,,,
Rk,R,,,
Ahu1,,,,
Bjf,Bfj,,,
BmC,Bm,,,
BCII1,IIBC1,,,
CBm2,Bm2,,,
IICcac,IICca,,,
AHU,Ahu,,,
BMK2,Bmk2,,,
Ahez,,,,
Bcx,BCx,,,
Ah3b,Ahb3,,,
Hhbi,Hb,,Organic.Horizon,
2BHF,IIBhf,,,
IIBHF,IIBhf,,,
Btgi1,Btgj1,,,
Bhfc2,,,,
BhF2,Bhf2,,,
Ae2g,Aeg2,,,
VIBmgj,,,,
IIIBFB,IIIBfb,,,
Silt,,Flag,,
HAh1,Ah1,,,
AHj,Ahj,,,
BFH,Bhf,,,
RF,R,,,
NR,,Flag,,
IIAhb1,IIAhb1,,,
Fb1,,,Organic.Horizon,
Bhfc1,,,,
BCgAb,,Flag,,
Bmky,,,,
Bfhg,Bhfg,,,
Bgb4,,,,
IVBmgj2,,,,
IIICu,,,,
CKZ,Ckz,,,
Bft3,Bm3,,,
IVBC2,,,,
IIIBC1,,,,
Aej1,BCg1,,,
BC1g,,,,
Btjgj1,,,,
HI,H,,Organic.Horizon,Move
Ahebg,,,,
BKg,Bkg,,,
3,,Flag,,
BC2k,BCk2,,,
Bt2g,Btg2,,,
Age,Ahe,,,
Bgtjfj,Bg,,,
Ahz,,,,
BCgt,Btg,,,
II.Bmb,IIBmb,,,
BC2g,BCg2,,,
Ahgjb,,,,
LHF,LFH,,Organic.Horizon,Move
Bgs,,,,
Bmku,,,,
IIIBmk2,,,,
a,,Flag,,
Csg,,,,
Ah4,,,,
VIBcb,IVBCb,,,
CBGJ,CBgj,,,
Bft,Bm,,,
IIHhib,Hb,,,
Bca1,Bmk1,,,
IIAejb,,,,
CHARCOAL,,Flag,,
IICB1,,,,
e,Ae,,,
Bm2gj,Bmgj2,,,
IVR,,,,
BFGJ1,Bfgj1,,,
ICg1,,,,
IIBmb2,,,,
Ae2b,Aeb2,,,
Bci,BC1,,,
CL,,Flag,,
COg,,Flag,,
Bz,Bmz,,,
IIBCa,IIBmk,,,
Bak,Bmk,,,
Bmcj2,,,,
Bfcj1,,,,
Bmtg,Bmtj,,,
Bmj2,Bm2,,,
IIIBGFB,IIIBgfb,,,
Ckj2,Ckj2,,,
Cgb2,,,,
Ckjg1,Cgkj1,,,
Ckjg2,Cgkj2,,,
Ckj1,,,,
Bm2g,Bmg2,,,
Bmkgj,,,,
IVCkg,,,,
Cgsak2,,,,
Co1,C1,,,
Bm1gj,Bmgj1,,,
Co2,C2,,,
Ckb4,,,,
Chg,,Flag,,
Bgjh,Bhgj,,,
RO,R,,,
Bhfgj2,,,,
Aef,Ae,,,
NOSOIL,,Flag,,
BCt,Bt,,,
VAh,Ah5,,,
BCskg,,,,
Bhfej,Bhf,,,
2CG,IICg,,,
IIAhbgj1,,,,
IIAhbgj,,,,
IVAheb,,,,
Btgk2,,,,
Aehgj,Ahegj,,,
HAeb4,Aheb4,,,
2Bgk,IIBgk,,,
Bem,Bm,,,
Bfjhj,Bhjfj,,,
IVBmgjb2,,,,
2BMCJ,IIBmcj,,,
IIAhkb,IIAhkb,,,
BHFC1,Bhfc1,,,
BHFC2,Bhfc2,,,
IIIBtj,,,,
IIBfc1,,,,
Bfgq,Bfg,,,
IICB2,,,,
IIBmgjb2,,,,
IIBCgb1,,,,
Bm+,Bm,,,
IIBA,,,,
BHFB,Bhfb,,,
Bfy,,,,
Btgi,Btgj,,,
IIICb,,,,
BHC,Bhc,,,
Bmg?,Bmg,,,
SIL,,Flag,,
IIBFGJ1,IIBfgj1,,,
C7,,,,
Bmbu,,,,
VBcb,VBCb,,,
IIBHFJ,IIBhfj,,,
BmKB2,Bmkb2,,,
BGBK,Bg,,,
II.Bm,IIBm,,,
PEH,,Flag,,
?CK,Ck,,,
Fm2,,,Organic.Horizon,Move
2BCKGJ,IIBckgj,,,
BGJ,Bgj,,,
BCE,,,,
IIOhk,IIOh,,Organic.Horizon,
SR,,,,
RxC,C,,,
Btg?,Btg,,,
Bnk,,,,
IIIBtgj,,,,
Cgt,,Flag,,
Bhfgc,,,,
ABg1,,,,
IIAhbkg,,,,
IIBmgjb,,,,
BN,Bn,,,
Lf,LF,,Organic.Horizon,Move
1Cg,Cg1,,,
OC,O,,Organic.Horizon,
IIIBfjb,,,,
VICgj,,,,
Cc2,,,,
Cc1,,,,
BtAe2,,,,
Cgj6,,,,
IIAEB,IIAeb,,,
BmORCk,BCk,,,
FS,Fs,,Organic.Horizon,Move
Ahl,Ah1,,,
IIBt3,,,,
IIBfu,,,,
AhbBm,,Flag,,
Cka,,,,
BFBU,Bfbu,,,
ABY,Aby,,,
Ahkb1,,,,
IIIBMGJ,IIIBmgj,,,
IVBMGJ,IVBmgj,,,
IIBFB1,IIBfb1,,,
IIAhgjh,IIAhgj,,,
Bmgju,,,,
IIBmbg,,,,
2BCX,IIBCx,,,
Aehu,Aheu,,,
2BCKB,IIBCkb,,,
IIIBg1,,,,
IIAh1,,,,
CO,,Flag,,
BgH,Bhg,,,
SAP,Ap,,,
IVBhgj,,,,
CO2,C2,,,
CO1,C1,,,
IIIAhgj,,,,
BC58+,BC,,,
AH1,Ah1,,,
Cfg2,,,,
Ahubk,,,,
IVCK1,,,,
Bg2ca,Bgk2,,,
BCtg,Btg,,,
ACKG,Ackg,,,
VAhgjb4,,,,
VIAhb,,,,
IAe1,Ae1,,,
1Bah,,Flag,,
Btjgj3,,,,
BmAeb,,Flag,,
CA,CA,,,
Cgbj2,Cgb2,,,
Bmx,Bmx,,,
IIIBf3,,,,
Bhnj,,,,
Ahcab,Ahkb,,,
BmBh?,Bm,,,
VIIC,,,,
IIBCb,,,,
BMG,Bmg,,,
BGJEJ,Bmgj,,,
CBg,,,,
Bf12,Bf1,,,
Akhj,Ahkj,,,
bGJ2,Bgj2,,,
Rubble,R,,,
Beg,Bg,,,
Aehj?,Ahej,,,
A+B,AB,,,
BFCG,Bfcg,,,
IIBmu,,,,
?C,C,,,
"Bg


Bg",,,,
Btkgj,,,,
AE1,Ae1,,,
Ahhb2,Ahb2,,,
IBm3,Bm3,,,
Bge,Bg,,,
IIAegb,,,,
Ahcab2,,Flag,,
Bmgjb,,,,
gi,,Flag,,
C2G,Cg2,,,
Ckg4,,,,
Bhfj1,,,,
2BFGJ,IIBfgh,,,
BhfBhjf,Bhf,,,
BGF,Bgf,,,
BfBfj,Bf,,,
IIBFCJGJ,IIBfcjgj,,,
Ahgk,,,,
Gq1,,Flag,,
Aehg,Aheg,,,
BtII,Bt2,,,
Bhffh,Bhf,,,
2B,,Flag,,
Ah2k,Ahk2,,,
Bfjb2,,,,
CB2,,,,
Omib,Omb,,Organic.Horizon,
IIICca1,,,,
HHb,Hb,,Organic.Horizon,
AHKB,Ahkb,,,
IIIF,,Flag,,
CKc,Ckc,,,
Ahsa,,,,
m,,Flag,,
VIIBm7,,,,
Ahk3,,,,
Bfjcg,,,,
Bw,,Flag,,
Blgj,Bgj,,,
VC1,,,,
Ccak,,,,
SILTb,,Flag,,
IIBtg2,,,,
Bhg3,,,,
Ahb5,,,,
Bmo,Bm,,,
Bhfj2,,,,
Coal,,Flag,,
IBf2,Bf2,,,
Asg,,Flag,,
IIIBmKb,IIIBmkb,,,
ac,AC,,,
IIBcgj,IIBcgj,,,
IIBfjb,,,,
BGJ2,Bgj2,,,
C+,C,,,
"Bm,BC",Bm,,,
A&B,AB,,,
hassom,,Flag,,
BMB1,Bmb1,,,
Bpn2,Bn2,,,
BCkI,BCk1,,,
IIBC1g,IIBCg1,,,
BKgtg2,,Flag,,
Ap2,,,,
Ap1,,,,
Bmkb1,,,,
IIIBhfb,,,,
sand,,Flag,,
Ccagj,,,,
B2C,IIBC,,,
Bcca,Bck,,,
LFHb1,,,Organic.Horizon,
Gb,,Flag,,
Bhbgj,,,,
Ahbs,Ahb,,,
II,,Flag,,
IIgj,,Flag,,
AEX,Aex,,,
IIBmg3,,,,
BhC,Bh,,,
BCCG,BCcg,,,
Bcfj,Bfjc,,,
IIAhei,IIAhe,,,
BfbII,Bfb2,,,
Bcgj2,BCgj2,,,
BEDROCK,R,,,
Ohz,Oh,,Organic.Horizon,
IIBCgjk,,,,
Bhjfj,,,,
BCGJB,BCgjb,,,
IBk,Bmk1,,,
IIOf,,,Organic.Horizon,
IIIOm,,,Organic.Horizon,
IOf,,,Organic.Horizon,
IIIBtfb,,Flag,,
Bv2,,,,
FHm,FmH,,Organic.Horizon,Move
Dk,,Flag,,
CBGJ2,CBgj2,,,
IIIG,,Flag,,
OfCg,Of,,Organic.Horizon,
IIG,,Flag,,
Ahei,Ahe1,,,
Ccsg,,,,
Bkb,Bmkb,,,
IIIBfj,,,,
Ahe?,Ahe,,,
Bthg,Btg,,,
mottle,,Flag,,
IIIBtk1,,,,
IAb,,Flag,,
LFb,,,Organic.Horizon,
Ahu2,,,,
Cgf,,Flag,,
IIIC+Ahb,Ahb,,,
IIAhgb,,,,
Bgkb1,,,,
CHb,,Flag,,
4Ah,IVAh,,,
OHb,Ohb,,Organic.Horizon,
Ahwood,,Flag,,
Bta,,,,
Apca,Apk,,,
ABCU,,Flag,,
Bts,Bt,,,
iiiC,IIIC,,,
Lv,,,Organic.Horizon,Move
Ahejb,,,,
Bfcc2,,,,
Bfcc1,,,,
