Horizon,Updated_Horizon,Flag_remove,Flag.Horizon.Type,Move_to_Mineral
F+CK,,Flag,,
LnLv,Lnv,,,
Of!,Of1,,Organic.Horizon,Move
Hu,H,,,
FaHh,,,,
Hhz,,,,
"SLn,v",SLnv,,,
HhAeh,,Flag,,
Lnv,,,,
Omz,Omz,,Organic.Horizon,Move
Fax,,,,
HrFm,,,,
"S,Lv",SLv,,,
H?,H,,,
OF2,Of2,,Organic.Horizon,Move
Moss,S,,,
OF6,Of6,,Organic.Horizon,Move
Fmli,Fm1,,,
Fli,LF1,,,
Fb3,,,Organic.Horizon,Move
VOhb2,,,Organic.Horizon,Move
OM2,Om2,,Organic.Horizon,Move
FHx,,,,
Ofi2,Of2,,Organic.Horizon,Move
Fzy,,,,
Fa2,,,,
lH,H1,,,
FzHhi,HzHh,,,
FaH,,,,
"L,Hi",Lhi,,,
Fa?,Fa,,,
HOh,Oh,,Organic.Horizon,Move
rock,R,,,Move
F*,F,,,
AhHin,,Flag,,
"L


L",,,,
Water,W,,,
OF5,Of5,,Organic.Horizon,Move
Faqui,Faq1,,,
Ahb,,,,Move
Fqz,,,,
FyFyz,Fyz,,,
LvandS,LvS,,,
S.L,SL,,,
FqHch,,,,
LOS,LS,,,
FqB,,Flag,,
Fz1,,,,
Fcw,Fw,,,
Hda2,,,,
OhIII,Oh3,,Organic.Horizon,Move
SLo,SL,,,
43.5,,Flag,,
FMFo,Fm,,,
"L,S",LS,,,
Hhb,,,Organic.Horizon,Move
F3,,,,
OH2,Oh2,,Organic.Horizon,Move
SandL,SL,,,
Fc,F,,,
Fd,F,,,
LvFm,,,,
Hhi2,,,,
6,,Flag,,
HhOh,Hh,,,
0F,Of,,Organic.Horizon,Move
lfh,LFH,,,
OF22,Of2,,Organic.Horizon,Move
OHi,Oh,,Organic.Horizon,Move
FM,Fm,,,
Ofb,,,Organic.Horizon,Move
S1,,,,
Fy8,,,,
FzHr,,,,
LvF,,,,
Hrig,Hr,,,
Hr2Hc,HrHc2,,,
Haz,H,,,
LrFa,Lfa,,,
FaHr,,,,
Flig,Fw,,,
Fzq,,,,
L0.5,,Flag,,
hrb,Hrb,,Organic.Horizon,Move
Fch,F,,,
"F1,F2",F1,,,
HrOh,Hc,,,
Bgh,,Flag,,
HH,Hh,,,
*Fa,Fa,,,
LFmH,,,,
Faqi,Faq1,,,
FqHin,FqH,,,
Hdb,Hdb,,Organic.Horizon,Move
LFHr,,,,
LSH,,,,
Oh1Hc1,Oh1,,Organic.Horizon,Move
Oh2Hc2,Oh2,,Organic.Horizon,Move
Fzr,Hz,,,
O?,Om,,Organic.Horizon,Move
Hli,Hw,,,
OH1,Oh1,,Organic.Horizon,Move
sLv,SLv,,,
Hrli,LHr1,,,
FmHrin,FmHr,,,
HB,,Flag,,
Hci,,,,
OS,,Flag,,
Ha2,,,,
Hab,,,Organic.Horizon,Move
H3,,,,
Ofi3,Of3,,Organic.Horizon,Move
HHI,Hh1,,,
sp,,Flag,,
hhi,Hh1,,,
Fb2,,,Organic.Horizon,Move
hr,Hr,,,
OF1,Of1,,Organic.Horizon,Move
?,,Flag,,
hCIN,Hc,,,
IIOmb,,,Organic.Horizon,Move
O3,,,Organic.Horizon,Move
SLnv,,,,
oh,Oh,,Organic.Horizon,Move
O1,Om1,,Organic.Horizon,Move
FHm,FmH,,,
Fmz,,,,
OF3,Of3,,Organic.Horizon,Move
LH2,,,,
Omr,Om,,Organic.Horizon,Move
Em,,Flag,,
Fqi,Fq1,,,
h2,H2,,,
hi,H1,,,
Fcn,F,,,
FG,,,,
C3,,,,Move
Hd2,,,,
hdi,Hd1,,,
"L,F,H",LFH,,,
Fqb,,,Organic.Horizon,Move
Ohk,Oh,,Organic.Horizon,Move
HdB,Hdb,,Organic.Horizon,Move
Fe,F,,,
Omw,Omw,,Organic.Horizon,Move
L+F,LF,,,
LOf,Of,,Organic.Horizon,Move
FmOf,Fm,,,
HhOm,Hh,,,
Fq2B,,Flag,,
Char,,Flag,,
Fb1,,,Organic.Horizon,Move
vu,,Flag,,
IIIOhb1,,,Organic.Horizon,Move
Hrn,Hr,,,
HB1,,Flag,,
Ioh,Oh1,,Organic.Horizon,Move
Hr1,,,,
LFOh,LFH,,,
LHF,,,,
FHli,LFH1,,,
Hn,,,,
Hj,H1,,,
hh,Hh,,,
Fn,,,,
Ss,S,,,
"Of,m,h",Om,,Organic.Horizon,Move
Omi2,Om2,,Organic.Horizon,Move
Ln+v,Lnv,,,
Hcli,Hc1,,,
O2,Om2,,Organic.Horizon,Move
Sr,S,,,
s,S,,,
H2b,,,Organic.Horizon,Move
OfZ,Ofz,,Organic.Horizon,Move
ls,,,,
BL,,Flag,,
Fy22,Fy2,,,
La,L,,,
SLFH,,,,
Hx,,,,
Oco2,Om,,Organic.Horizon,Move
bOm2,Omb2,,Organic.Horizon,Move
Fyli,LFy,,,
LvLnS,LvnS,,,
HnHh,Hh,,,
peat,Of,,Organic.Horizon,Move
FOf,Of,,Organic.Horizon,Move
Far,Fa,,,
SLFq,,,,
Ofh,Of,,Organic.Horizon,Move
Hq,,,,
Hij,H1,,,
FOmOh,Om,,Organic.Horizon,Move
Fg1,F1,,,
Hai,Ha1,,,
HrS,SHr,,,
Hia,Ha1,,,
hai,Ha1,,,
Lv+S,LvS,,,
Fyz1,,,,
Lo+S,LS,,,
Fych,,Flag,,
Cg,,,,Move
H**,H,,,
LHm,LHm,,,
SandLv,SLv,,,
FHam,Fma,,,
Ol,Om1,,Organic.Horizon,Move
Ohz,Ohz,,Organic.Horizon,Move
Hind,H,,,
L+CK,,Flag,,
fM,Fm,,,
Bm1,,,,Move
Hrb,,,Organic.Horizon,Move
DW2,,Flag,,
DW1,,Flag,,
OMB,Omb,,Organic.Horizon,Move
X,,Flag,,
Hm1,H1,,,
Hm2,H2,,,
Hhil,Hh1,,,
DW+H,,Flag,,
Fyz2,,,,
FyHr,,,,
SandLo,,Flag,,
HrHc,Hrc,,,
SAND,,Flag,,
ch,,Flag,,
Fy3Hr,FyHr3,,,
Fyh,,,,
Ohb2,,,Organic.Horizon,Move
FyH,,,,
Sl,SL,,,
FL,LF,,,
FqHd,,,,
Om21,Om2,,Organic.Horizon,Move
Hcin1,Hc1,,,
HlI,LH1,,,
Air,,Flag,,
HCin2,Hc2,,,
Roots,,Flag,,
HcHin,Hc,,,
L2,L2,,,
LNS,LS,,,
Ahg,,,,Move
fibric,Of,,Organic.Horizon,Move
Hcb,,,Organic.Horizon,Move
OfOm,Om,,Organic.Horizon,Move
HzrAh,,Flag,,
Omf,Om,,Organic.Horizon,Move
Lvin,Lv,,,
Aej,,,,Move
Aegj,,,,Move
Od,Of,,Organic.Horizon,Move
EL,,Flag,,
Hdz,Hd,,,
F?,F,,,
f2,F2,,,
hq,H,,,
fibricH,,Flag,,
Ofa,Of,,Organic.Horizon,Move
hb,Hb,,Organic.Horizon,Move
FOm,Of,,Organic.Horizon,Move
Or,,Flag,,
H*,H,,,
Oco3,Om,,Organic.Horizon,Move
Fyi,Fy1,,,
LSF,LSF,,,
Hzh,Hh,,,
FqHr,,,,
FaqH,,,,
"Lv,F",LvF,,,
FzH,,,,
FFH,FH,,,
Lss,LS,,,
M,,Flag,,
Hriy,Hry1,,,
SandH,SH,,,
VOhi,VOh1,,Organic.Horizon,Move
IIIOhi,IIIOh1,,Organic.Horizon,Move
1.5,,Flag,,
On,Oh,,,
W2,,Flag,,
FHj,FH,,,
Faj,Fa,,,
L+C,,Flag,,
HFr,,,,
FrH,,,,
Al,,Flag,,
Hra,Hr,,,
FH2,,,,
FyHc,,,,
Lfh,LFH,,,
Omh,Om,,Organic.Horizon,Move
Hcch,Hh,,,
lv1,Lv1,,,
Ohj,Oh,,Organic.Horizon,Move
Hbu,Hb,,Organic.Horizon,Move
Haj,H1,,,
Dw2,,Flag,,
LfH,LFH,,,
Lnj,Ln,,,
Bg,,,,Move
K,,Flag,,
Ll,L1,,,
Os1,Om1,,,
Os2,Om2,,,
Oz,,Flag,,
Fw2,,,,
Fw1,,,,
Hi2,H1,,,
Hi1,H2,,,
null,,Flag,,
Lv2,,,,
absent,,Flag,,
Hb1,,,Organic.Horizon,Move
FHh,,,,
Fziw,Fzw1,,,
I0h,,Flag,,
LFHh,,,,
LvFzHh,,,,
of,Of,,Organic.Horizon,Move
Hb2,,,Organic.Horizon,Move
H.50,,Flag,,
Hg,,,,
Fmi,,,,
HL,LH,,,
lo,,Flag,,
Hydric,,Flag,,
AH,,Flag,,
Lvn,,,,
FaS,,,,
He,H,,,
Peat,Om,,,
Ofi1,Of1,,Organic.Horizon,Move
Ahe,,,,Move
WOOD,,Flag,,
Fha,FH,,,
Lts,L,,,
w,,Flag,,
Fqe,Fq,,,
Fami,Fam1,,,
Faw,,,,
Hoh,H,,,
T,,Flag,,
LichenL,S,,,
Fx,,,,
Fychli,Fy1,,,
ash,,Flag,,
DF,,Flag,,
g,,Flag,,
Mh,,Flag,,
FQ,Fq,,,
FaqB,Faqb,,Organic.Horizon,Move
OhII,Oh2,,Organic.Horizon,Move
10,,Flag,,
OF7,Of7,,Organic.Horizon,Move
Fq0,,Flag,,
SLF,,,,
Ow,Om,,Organic.Horizon,Move
Cg2,,,,Move
TRACE,,Flag,,
FHL,,,,
Duf,LFH,,,
Ah2,,,,Move
